T,AP,RH,V,EP
8.34,1010.84,90.01,40.77,480.48
23.64,1011.4,74.2,58.49,445.75
29.74,1007.15,41.91,56.9,438.76
19.07,1007.22,76.79,49.69,453.09
11.8,1017.13,97.2,40.66,464.43
13.97,1016.05,84.6,39.16,470.96
22.1,1008.2,75.38,71.29,442.35
14.47,1021.98,78.41,41.76,464
31.25,1010.25,36.83,69.51,428.77
6.77,1017.8,81.13,38.18,484.31
28.28,1006.36,69.9,68.67,435.29
22.99,1014.15,49.42,46.93,451.41
29.3,1010.95,61.23,70.04,426.25
8.14,1009.04,80.33,37.49,480.66
16.92,1017.34,58.75,44.6,460.17
22.72,1021.14,60.34,64.15,453.13
18.14,1012.83,47.1,43.56,461.71
11.49,1020.44,86.04,44.63,471.08
9.94,1018.9,68.51,40.46,473.74
23.54,1002.05,38.05,41.1,448.56
14.9,1015.11,77.33,52.05,464.82
33.8,1004.88,49.37,64.96,427.28
25.37,1011.12,70.99,68.31,441.76
7.29,1024.06,89.19,41.04,474.71
13.55,1019.13,75.44,40.71,467.21
6.39,1025.53,77.23,35.57,487.69
26.64,1011.81,72.46,62.44,438.67
7.84,1018.21,91.92,41.39,485.66
21.82,1011.71,64.37,58.66,452.16
27.17,1015.67,49.03,67.45,429.87
13.42,994.17,95.79,41.23,468.82
20.77,1012.4,83.63,56.85,442.85
8.29,1020.38,81.53,36.08,483.26
30.98,1015.18,45.4,67.45,433.59
31.96,1008.39,47.51,71.29,433.04
15.83,1024.3,58.34,52.75,458.6
22.56,1005.85,93.09,70.79,435.14
25.91,1018.23,62.65,75.6,443.2
8.24,1017.99,78.42,39.61,477.9
24.66,1018,59.56,60.29,445.26
29.31,1006.18,63.38,68.67,435.57
21.48,1008.58,84.49,66.91,447.42
18.28,1016.99,33.71,44.71,462.28
26.96,1015.05,46.93,65.34,441.81
16.01,1014,87.68,65.46,454.16
27.37,1009.79,65.25,63.73,437.24
16.3,1004.64,85.61,39.63,464.11
23.8,1002.43,67.32,48.6,440.89
8.19,1016.57,75.38,41.66,485.2
25.28,1009.05,68.54,67.69,445.34
21.47,1011.72,88.36,70.32,440
30.54,1014.37,32.97,67.45,431.35
18.3,1017.95,63.24,44.06,456.32
25.82,1003.4,86.33,72.39,432.98
31.12,1009.61,56.54,69.13,429.41
15.99,1006.09,89.92,39.63,464.95
8.42,1008.4,87.78,42.28,481.91
23.7,1011.73,73.18,69.23,437.15
15.71,1012.81,97.46,40.12,462.6
29.11,1003.31,74.01,74.9,432.43
23.73,1009.71,78.7,61.02,442.22
28.26,1014.56,43.4,65.34,441.03
15.92,1016.04,73.37,41.2,468.91
33.4,1009.17,57.01,70.8,432.46
31.92,1015.58,41.55,68.3,430.07
26.87,1002.48,71.91,74.99,437.78
5.23,1025.13,92.74,40.78,483.12
15.72,1023.07,66.95,41.76,462.19
17.74,1015.56,89.78,50.88,457.71
27.13,1004.33,73.27,59.54,438.32
25.82,1013.2,60.32,66.49,434.35
34.2,1002.7,56.09,68.14,427.05
19.13,1010.65,94.92,68.61,448.69
11.77,1021.45,76.63,41.06,475.88
10.25,1018.67,84.41,41.46,479.28
23.82,1010.48,44.45,48.92,446.85
30.1,1009.38,65.41,66.25,434.99
29.92,1009.12,67.15,69.75,441.5
29.63,1018.08,58.46,66.75,433.26
30.61,1009.49,73.19,77.17,430.46
16.18,1014.06,100.09,50.88,455.14
31.66,1004.49,68.13,73.91,431.26
29.14,1009.64,39.95,61.5,437.76
18.4,1012.4,77.81,43.96,464.63
15.86,1016.65,67.51,38.62,462.58
6.31,1004.61,77.74,42.07,483.27
23.4,1009.48,88.82,72.99,438.51
33.62,1009.38,63.71,77.17,431.03
6.89,1019.87,72.77,43.65,484
27.41,1008.51,65.49,69.98,431.64
26.37,1014.48,66.31,54.5,451.78
26.58,1014.49,65.87,59.39,439.46
15.25,1012.04,41.43,43.02,467.23
21.24,1012.6,49.27,41.67,459.81
24.98,1011.69,69.97,58.05,447.15
26.63,1012.66,61.19,64.44,442
18.87,1005.25,99.19,52.08,449.61
5.12,1025.45,96.88,40.78,481.28
31.1,1008.09,45.87,71.32,437.54
7.91,1023.57,88.44,39.96,475.52
14.97,1019.52,81.13,58.2,458.68
28.92,1011.19,56.13,61.02,436.76
22.92,1013.27,78.32,61.9,446.08
12.55,1012.58,75.44,38.91,474.35
9.38,1015.09,86.8,41.44,481.96
10.28,1018.44,85.23,41.46,479.66
30.31,1008.02,67.84,77.24,435.28
25.34,1007.74,92.52,71.06,434.86
30.47,1009.65,62.03,70.02,435.72
20.18,1020.3,77.1,56.53,454.14
21.31,1014.08,62.57,46.97,455.76
22.1,1009.4,85.78,74.87,442.83
20.09,1020.82,74.16,63.94,449.47
22.36,1016.69,73.6,58.79,445.76
9.43,1013.03,74.99,37.14,473.57
28.86,1003.93,52.85,49.3,435.75
23.25,1009.28,86.52,70.32,437.96
22.7,1019.15,71.48,60.84,438.59
21.3,1013.83,84.53,59.39,444.21
19.94,1008.52,74.69,44.9,459.47
14.97,1011.13,87.33,43.67,465.54
13.83,1024.85,73.08,40.78,458.85
